-foptimize-sibling-calls,-freorder-blocks-algorithm=stc,-ftree-pre,-fschedule-insns2,-fexpensive-optimizations,-fvect-cost-model,-ffinite-loops,-floop-unroll-and-jam,-flra-remat,-fvect-cost-model=dynamic,time
0,0,0,0,1,1,0,0,1,1,0.053468749999999995
0,0,0,0,1,1,0,1,0,0,0.05361111111111111
0,0,0,0,1,1,0,1,0,1,0.05358333333333333
0,0,0,0,1,1,0,1,1,0,0.053587499999999996
0,0,0,0,1,1,0,1,1,1,0.05354166666666667
0,0,0,0,1,1,1,0,0,0,0.0535625
0,0,0,0,1,1,1,0,0,1,0.0535625
0,0,0,0,1,1,1,0,1,0,0.05345000000000001
0,0,0,0,1,1,1,0,1,1,0.053587499999999996
0,0,0,0,1,1,1,1,0,0,0.05363749999999999
0,0,0,0,1,1,1,1,0,1,0.05345833333333334
0,0,0,0,1,1,1,1,1,0,0.05345833333333333
0,0,0,0,1,1,1,1,1,1,0.0535
0,0,0,1,0,0,0,0,0,0,0.052296875
0,0,0,1,0,0,0,0,0,1,0.052359375
0,0,0,1,0,0,0,0,1,0,0.0524375
0,0,0,1,0,0,0,0,1,1,0.05261111111111111
0,0,0,1,0,0,0,1,0,0,0.05259722222222222
0,0,0,1,0,0,0,1,0,1,0.052649999999999995
0,0,0,1,0,0,0,1,1,0,0.05251388888888889
0,0,0,1,0,0,0,1,1,1,0.05243055555555556
0,0,0,1,0,0,1,0,0,0,0.0525625
0,0,0,1,0,0,1,0,0,1,0.052765625
0,0,0,1,0,0,1,0,1,0,0.05267500000000001
0,0,0,1,0,0,1,0,1,1,0.05273611111111111
0,0,0,1,0,0,1,1,0,0,0.05255555555555555
0,0,0,1,0,0,1,1,0,1,0.0525
0,0,0,1,0,0,1,1,1,0,0.052703125
0,0,0,1,0,0,1,1,1,1,0.05263888888888888
0,0,0,1,0,1,0,0,0,0,0.052609375
0,0,0,1,0,1,0,0,0,1,0.05266666666666667
0,0,0,1,0,1,0,0,1,0,0.05276388888888889
0,0,0,1,0,1,0,0,1,1,0.05251388888888889
0,0,0,1,0,1,0,1,0,0,0.052468749999999995
0,0,0,1,0,1,0,1,0,1,0.052587499999999995
0,0,0,1,0,1,0,1,1,0,0.05245833333333333
0,0,0,1,0,1,0,1,1,1,0.05259722222222222
0,0,0,1,0,1,1,0,0,0,0.052525
0,0,0,1,0,1,1,0,0,1,0.052578124999999996
0,0,0,1,0,1,1,0,1,0,0.05248611111111111
0,0,0,1,0,1,1,0,1,1,0.052515624999999996
0,0,0,1,0,1,1,1,0,0,0.0525
0,0,0,1,0,1,1,1,0,1,0.05277777777777778
0,0,0,1,0,1,1,1,1,0,0.0524875
0,0,0,1,0,1,1,1,1,1,0.052906249999999995
0,0,0,1,1,0,0,0,0,0,0.05304166666666667
0,0,0,1,1,0,0,0,0,1,0.05298611111111111
0,0,0,1,1,0,0,0,1,0,0.05291666666666667
0,0,0,1,1,0,0,0,1,1,0.05268055555555556
0,0,0,1,1,0,0,1,0,0,0.05306944444444445
0,0,0,1,1,0,0,1,0,1,0.0529861111111111
0,0,0,1,1,0,0,1,1,0,0.05308333333333334
0,0,0,1,1,0,0,1,1,1,0.052843749999999995
0,0,0,1,1,0,1,0,0,0,0.05291250000000001
0,0,0,1,1,0,1,0,0,1,0.05280555555555556
0,0,0,1,1,0,1,0,1,0,0.052925
0,0,0,1,1,0,1,0,1,1,0.05295833333333333
0,0,0,1,1,0,1,1,0,0,0.05280555555555555
0,0,0,1,1,0,1,1,0,1,0.05280555555555556
0,0,0,1,1,0,1,1,1,0,0.05302777777777778
0,0,0,1,1,0,1,1,1,1,0.05304166666666666
0,0,0,1,1,1,0,0,0,0,0.05293055555555556
0,0,0,1,1,1,0,0,0,1,0.05298611111111111
0,0,0,1,1,1,0,0,1,0,0.05306944444444444
0,0,0,1,1,1,0,0,1,1,0.05315625
0,0,0,1,1,1,0,1,0,0,0.052912499999999994
0,0,0,1,1,1,0,1,0,1,0.0531
0,0,0,1,1,1,0,1,1,0,0.05295
0,0,0,1,1,1,0,1,1,1,0.052972222222222226
0,0,0,1,1,1,1,0,0,0,0.05292187499999999
0,0,0,1,1,1,1,0,0,1,0.05311249999999999
0,0,0,1,1,1,1,0,1,0,0.0530375
0,0,0,1,1,1,1,0,1,1,0.052859375
0,0,0,1,1,1,1,1,0,0,0.05308333333333334
0,0,0,1,1,1,1,1,0,1,0.05302777777777778
0,0,0,1,1,1,1,1,1,0,0.052833333333333336
0,0,0,1,1,1,1,1,1,1,0.052825
0,0,1,0,0,0,0,0,0,0,0.05036111111111111
0,0,1,0,0,0,0,0,0,1,0.05019444444444445
0,0,1,0,0,0,0,0,1,0,0.050375
0,0,1,0,0,0,0,0,1,1,0.0503125
0,0,1,0,0,0,0,1,0,0,0.05043055555555556
0,0,1,0,0,0,0,1,0,1,0.050208333333333334
0,0,1,0,0,0,0,1,1,0,0.050333333333333334
0,0,1,0,0,0,0,1,1,1,0.05041666666666667
0,0,1,0,0,0,1,0,0,0,0.05019444444444445
0,0,1,0,0,0,1,0,0,1,0.0503888888888889
0,0,1,0,0,0,1,0,1,0,0.050402777777777776
0,0,1,0,0,0,1,0,1,1,0.050486111111111114
0,0,1,0,0,0,1,1,0,0,0.05023611111111112
0,0,1,0,0,0,1,1,0,1,0.05029166666666667
0,0,1,0,0,0,1,1,1,0,0.050361111111111106
0,0,1,0,0,0,1,1,1,1,0.05025
0,0,1,0,0,1,0,0,0,0,0.050305555555555555
0,0,1,0,0,1,0,0,0,1,0.0504
0,0,1,0,0,1,0,0,1,0,0.050263888888888886
0,0,1,0,0,1,0,0,1,1,0.0504375
0,0,1,0,0,1,0,1,0,0,0.050208333333333334
0,0,1,0,0,1,0,1,0,1,0.05037500000000001
0,0,1,0,0,1,0,1,1,0,0.050350000000000006
0,0,1,0,0,1,0,1,1,1,0.050187499999999996
0,0,1,0,0,1,1,0,0,0,0.050421875000000005
0,0,1,0,0,1,1,0,0,1,0.050374999999999996
0,0,1,0,0,1,1,0,1,0,0.050390625
0,0,1,0,0,1,1,0,1,1,0.05030555555555556
0,0,1,0,0,1,1,1,0,0,0.05029166666666667
0,0,1,0,0,1,1,1,0,1,0.050291666666666665
0,0,1,0,0,1,1,1,1,0,0.050156250000000006
0,0,1,0,0,1,1,1,1,1,0.05025
0,0,1,0,1,0,0,0,0,0,0.050175000000000004
0,0,1,0,1,0,0,0,0,1,0.05013888888888889
0,0,1,0,1,0,0,0,1,0,0.050097222222222224
0,0,1,0,1,0,0,0,1,1,0.050015625
0,0,1,0,1,0,0,1,0,0,0.050055555555555555
0,0,1,0,1,0,0,1,0,1,0.05015277777777779
0,0,1,0,1,0,0,1,1,0,0.05000000000000001
0,0,1,0,1,0,0,1,1,1,0.049944444444444444
0,0,1,0,1,0,1,0,0,0,0.050194444444444444
0,0,1,0,1,0,1,0,0,1,0.05002777777777778
0,0,1,0,1,0,1,0,1,0,0.050125
0,0,1,0,1,0,1,0,1,1,0.05
0,0,1,0,1,0,1,1,0,0,0.05008928571428571
0,0,1,0,1,0,1,1,0,1,0.050050000000000004
0,0,1,0,1,0,1,1,1,0,0.050208333333333334
0,0,1,0,1,0,1,1,1,1,0.05006944444444445
0,0,1,0,1,1,0,0,0,0,0.05006944444444445
0,0,1,0,1,1,0,0,0,1,0.050055555555555555
0,0,1,0,1,1,0,0,1,0,0.04998611111111111
0,0,1,0,1,1,0,0,1,1,0.050112500000000004
0,0,1,0,1,1,0,1,0,0,0.05005
0,0,1,0,1,1,0,1,0,1,0.05004166666666667
0,0,1,0,1,1,0,1,1,0,0.050050000000000004
0,0,1,0,1,1,0,1,1,1,0.04990625
0,0,1,0,1,1,1,0,0,0,0.050125
0,0,1,0,1,1,1,0,0,1,0.050112500000000004
0,0,1,0,1,1,1,0,1,0,0.0501
